;Jour_name;temp_min;temp_max;precipitation
0;01/11/2022;14;18;0.5
1;02/11/2022;11;16;0.2
2;03/11/2022;13;16;0.6
3;04/11/2022;9;12;2.9
4;05/11/2022;8;14;0.0
5;06/11/2022;9;14;0.5
6;07/11/2022;11;16;0.0
7;08/11/2022;12;17;0.0
8;09/11/2022;13;16;0.0
9;10/11/2022;10;17;0.0
10;11/11/2022;9;19;0.0
11;12/11/2022;11;19;0.0
12;13/11/2022;11;17;0.0
13;14/11/2022;10;15;0.3
14;15/11/2022;9;14;1.1
15;16/11/2022;10;12;1.8
16;17/11/2022;13;14;1.4
17;18/11/2022;8;13;0.1
18;19/11/2022;7;11;0.2
19;20/11/2022;6;9;0.5
20;21/11/2022;7;9;0.9
21;22/11/2022;6;11;0.3
22;23/11/2022;7;11;0.3
23;24/11/2022;7;11;0.0
24;25/11/2022;7;11;0.6
25;26/11/2022;7;11;0.0
26;27/11/2022;9;11;0.0
27;28/11/2022;9;11;0.9
28;29/11/2022;7;12;0.0
29;30/11/2022;5;10;0.0
30;01/12/2022;5;8;0.0
31;02/12/2022;4;7;0.0
32;03/12/2022;1;3;0.0
33;04/12/2022;1;5;0.0
34;05/12/2022;3;5;0.3
35;06/12/2022;3;6;0.0
36;07/12/2022;2;6;0.0
37;08/12/2022;2;5;0.0
38;09/12/2022;1;6;0.0
39;10/12/2022;1;5;0.0
40;11/12/2022;1;3;0.0
41;12/12/2022;1;3;0.0
42;13/12/2022;2;2;0.0
43;14/12/2022;2;4;0.8
44;15/12/2022;1;2;0.1
45;16/12/2022;2;4;0.0
46;17/12/2022;4;1;0.0
47;18/12/2022;3;2;0.0
48;19/12/2022;6;10;0.2
49;20/12/2022;10;12;0.4
50;21/12/2022;8;10;3.5
51;22/12/2022;10;13;1.1
52;23/12/2022;14;15;1.0
53;24/12/2022;10;12;0.0
54;25/12/2022;9;15;0.0
55;26/12/2022;8;9;3.5
56;27/12/2022;4;7;0.0
57;28/12/2022;6;11;0.1
58;29/12/2022;10;11;1.4
59;30/12/2022;6;15;1.2
60;31/12/2022;14;17;0.2
61;01/01/2023;12;14;0.0
62;02/01/2023;8;11;6.1
63;03/01/2023;6;10;0.0
64;04/01/2023;9;12;0.0
65;05/01/2023;12;13;0.1
66;06/01/2023;11;12;0.2
67;07/01/2023;7;11;0.2
68;08/01/2023;9;10;1.5
69;09/01/2023;6;9;1.2
70;10/01/2023;6;12;1.8
71;11/01/2023;10;12;0.5
72;12/01/2023;9;12;0.7
73;13/01/2023;9;11;1.8
74;14/01/2023;8;13;0.9
75;15/01/2023;7;9;2.2
76;16/01/2023;4;8;4.9
77;17/01/2023;2;5;0.3
