Jour_name;Jour_Temp;Jour_precipitation
01/12/2022;5°C/8°C;0mm
02/12/2022;4°C/7°C;0mm
03/12/2022;1°C/3°C;0mm
04/12/2022;1°C/5°C;0mm
05/12/2022;3°C/5°C;0.3mm
06/12/2022;3°C/6°C;0mm
07/12/2022;2°C/6°C;0mm
08/12/2022;2°C/5°C;0mm
09/12/2022;-1°C/6°C;0mm
10/12/2022;-1°C/5°C;0mm
11/12/2022;-1°C/3°C;0mm
12/12/2022;-1°C/3°C;0mm
13/12/2022;-2°C/2°C;0mm
14/12/2022;2°C/4°C;0.8mm
15/12/2022;-1°C/2°C;0.1mm
16/12/2022;-2°C/4°C;0mm
17/12/2022;-4°C/1°C;0mm
18/12/2022;-3°C/2°C;0mm
19/12/2022;6°C/10°C;0.2mm
20/12/2022;10°C/12°C;0.4mm
21/12/2022;8°C/10°C;3.5mm
22/12/2022;10°C/13°C;1.1mm
23/12/2022;14°C/15°C;1mm
24/12/2022;10°C/12°C;0mm
25/12/2022;9°C/15°C;0mm
26/12/2022;8°C/9°C;3.5mm
27/12/2022;4°C/7°C;0mm
28/12/2022;6°C/11°C;0.1mm
29/12/2022;10°C/11°C;1.4mm
30/12/2022;6°C/15°C;1.2mm
31/12/2022;14°C/17°C;0.2mm
