Jour_name;Jour_Temp;Jour_precipitation
01/04/2023;10°C/12°C;2mm
02/04/2023;8°C/15°C;0mm
03/04/2023;3°C/15°C;0mm
04/04/2023;2°C/14°C;0mm
05/04/2023;3°C/15°C;0mm
06/04/2023;8°C/10°C;0.7mm
07/04/2023;5°C/12°C;0.1mm
08/04/2023;4°C/16°C;0.1mm
09/04/2023;6°C/17°C;0mm
10/04/2023;10°C/15°C;0mm
11/04/2023;7°C/14°C;0.2mm
12/04/2023;8°C/11°C;2.6mm
13/04/2023;7°C/12°C;0.5mm
14/04/2023;5°C/13°C;0.1mm
15/04/2023;8°C/14°C;0.5mm
16/04/2023;5°C/15°C;0mm
17/04/2023;6°C/14°C;0.1mm
18/04/2023;6°C/14°C;0mm
19/04/2023;7°C/15°C;0mm
20/04/2023;5°C/11°C;0mm
21/04/2023;7°C/14°C;1.4mm
22/04/2023;7°C/12°C;2.2mm
23/04/2023;10°C/12°C;3.7mm
24/04/2023;9°C/12°C;0.7mm
25/04/2023;6°C/10°C;0.2mm
26/04/2023;6°C/13°C;0mm
27/04/2023;9°C/18°C;0.1mm
28/04/2023;14°C/18°C;1.3mm
29/04/2023;10°C/17°C;0.2mm
30/04/2023;8°C/19°C;0mm
