Jour_name;Jour_Temp;Jour_precipitation
01/02/2023;7°C/9°C;0.8mm
02/02/2023;5°C/11°C;0mm
03/02/2023;7°C/12°C;0mm
04/02/2023;5°C/13°C;0mm
05/02/2023;6°C/11°C;0mm
06/02/2023;2°C/7°C;0mm
07/02/2023;1°C/7°C;0mm
08/02/2023;0°C/10°C;0mm
09/02/2023;-1°C/7°C;0mm
10/02/2023;4°C/10°C;0mm
11/02/2023;3°C/9°C;0mm
12/02/2023;3°C/13°C;0mm
13/02/2023;4°C/14°C;0mm
14/02/2023;5°C/15°C;0mm
15/02/2023;5°C/13°C;0mm
16/02/2023;7°C/13°C;0mm
17/02/2023;10°C/14°C;0mm
18/02/2023;10°C/12°C;0mm
19/02/2023;10°C/13°C;0mm
20/02/2023;6°C/15°C;0mm
21/02/2023;6°C/16°C;0mm
22/02/2023;9°C/12°C;0.3mm
23/02/2023;7°C/10°C;0.3mm
24/02/2023;3°C/10°C;0mm
25/02/2023;3°C/9°C;0mm
26/02/2023;1°C/7°C;0mm
27/02/2023;-1°C/9°C;0mm
28/02/2023;-1°C/10°C;0mm
