Jour_name;Jour_Temp;Jour_precipitation
01/07/2023;16°C/25°C;1.1mm
02/07/2023;13°C/25°C;0mm
03/07/2023;15°C/25°C;0mm
04/07/2023;13°C/25°C;0mm
05/07/2023;11°C/21°C;1.3mm
06/07/2023;13°C/30°C;0mm
07/07/2023;16°C/35°C;0mm
08/07/2023;19°C/32°C;0.1mm
09/07/2023;19°C/26°C;1.1mm
10/07/2023;19°C/33°C;0mm
11/07/2023;19°C/35°C;0mm
12/07/2023;16°C/27°C;0mm
13/07/2023;15°C/26°C;0mm
14/07/2023;16°C/32°C;0mm
15/07/2023;19°C/24°C;0.1mm
16/07/2023;15°C/24°C;0mm
17/07/2023;15°C/30°C;0mm
18/07/2023;14°C/34°C;0mm
19/07/2023;14°C/29°C;0mm
20/07/2023;15°C/26°C;0mm
21/07/2023;16°C/27°C;0mm
22/07/2023;14°C/28°C;0mm
23/07/2023;17°C/20°C;1mm
24/07/2023;17°C/25°C;0.8mm
25/07/2023;14°C/21°C;1.8mm
26/07/2023;13°C/25°C;0mm
27/07/2023;18°C/21°C;0.4mm
28/07/2023;18°C/23°C;1.6mm
29/07/2023;17°C/25°C;0.3mm
30/07/2023;14°C/26°C;0mm
31/07/2023;17°C/21°C;1.5mm
