Jour_name;Jour_Temp;Jour_precipitation
01/06/2023;13°C/27°C;0mm
02/06/2023;9°C/25°C;0mm
03/06/2023;11°C/27°C;0mm
04/06/2023;11°C/26°C;0mm
05/06/2023;12°C/26°C;0mm
06/06/2023;12°C/25°C;0mm
07/06/2023;14°C/27°C;0mm
08/06/2023;14°C/28°C;0mm
09/06/2023;17°C/26°C;0mm
10/06/2023;18°C/25°C;0.9mm
11/06/2023;19°C/23°C;1.6mm
12/06/2023;16°C/29°C;1.7mm
13/06/2023;16°C/27°C;0mm
14/06/2023;16°C/29°C;0mm
15/06/2023;18°C/30°C;0mm
16/06/2023;16°C/31°C;0mm
17/06/2023;18°C/31°C;0mm
18/06/2023;19°C/29°C;4.8mm
19/06/2023;16°C/29°C;0.1mm
20/06/2023;18°C/26°C;1.7mm
21/06/2023;18°C/28°C;1.2mm
22/06/2023;15°C/20°C;12.9mm
23/06/2023;14°C/27°C;0mm
24/06/2023;16°C/31°C;0mm
25/06/2023;18°C/33°C;0mm
26/06/2023;16°C/24°C;0mm
27/06/2023;14°C/25°C;0mm
28/06/2023;15°C/27°C;0mm
29/06/2023;19°C/26°C;2.3mm
30/06/2023;13°C/23°C;0mm
