Jour_name;Jour_Temp;Jour_precipitation
01/05/2023;11°C/18°C;0mm
02/05/2023;9°C/14°C;0mm
03/05/2023;5°C/21°C;0mm
04/05/2023;9°C/22°C;0mm
05/05/2023;11°C/21°C;0.2mm
06/05/2023;11°C/22°C;0.1mm
07/05/2023;14°C/20°C;0.3mm
08/05/2023;10°C/21°C;0mm
09/05/2023;12°C/15°C;2.2mm
10/05/2023;10°C/15°C;0.5mm
11/05/2023;8°C/17°C;0mm
12/05/2023;8°C/15°C;0.6mm
13/05/2023;9°C/19°C;1.1mm
14/05/2023;9°C/20°C;0.2mm
15/05/2023;10°C/14°C;1mm
16/05/2023;5°C/17°C;0mm
17/05/2023;6°C/16°C;0mm
18/05/2023;8°C/18°C;0mm
19/05/2023;7°C/19°C;0mm
20/05/2023;10°C/18°C;0.1mm
21/05/2023;11°C/19°C;0mm
22/05/2023;12°C/21°C;0mm
23/05/2023;12°C/20°C;0mm
24/05/2023;8°C/18°C;0mm
25/05/2023;10°C/23°C;0mm
26/05/2023;10°C/24°C;0mm
27/05/2023;10°C/23°C;0mm
28/05/2023;11°C/27°C;0mm
29/05/2023;12°C/23°C;0mm
30/05/2023;10°C/23°C;0mm
31/05/2023;11°C/27°C;0mm
