Jour_name;Jour_Temp;Jour_precipitation
01/03/2023;0°C/8°C;0mm
02/03/2023;-1°C/10°C;0mm
03/03/2023;1°C/10°C;0mm
04/03/2023;1°C/7°C;0mm
05/03/2023;6°C/7°C;0mm
06/03/2023;5°C/8°C;0mm
07/03/2023;3°C/8°C;0mm
08/03/2023;7°C/15°C;3mm
09/03/2023;10°C/15°C;0.8mm
10/03/2023;6°C/12°C;0.4mm
11/03/2023;2°C/9°C;0mm
12/03/2023;9°C/16°C;0.1mm
13/03/2023;13°C/19°C;0.1mm
14/03/2023;7°C/11°C;0.6mm
15/03/2023;3°C/9°C;0mm
16/03/2023;7°C/17°C;0mm
17/03/2023;10°C/16°C;0mm
18/03/2023;10°C/15°C;0.3mm
19/03/2023;10°C/16°C;0mm
20/03/2023;8°C/16°C;0mm
21/03/2023;9°C/15°C;0.1mm
22/03/2023;10°C/11°C;1.3mm
23/03/2023;11°C/13°C;0.8mm
24/03/2023;11°C/16°C;0.7mm
25/03/2023;9°C/15°C;0.4mm
26/03/2023;8°C/11°C;2.8mm
27/03/2023;6°C/10°C;0mm
28/03/2023;3°C/13°C;0mm
29/03/2023;9°C/20°C;0mm
30/03/2023;13°C/17°C;0.3mm
31/03/2023;11°C/12°C;2.2mm
