Jour_name;Jour_Temp;Jour_precipitation
01/11/2023;12°C/14°C;0.5mm
02/11/2023;11°C/13°C;1.3mm
03/11/2023;7°C/12°C;0.4mm
04/11/2023;8°C/13°C;1.2mm
05/11/2023;11°C/13°C;1.7mm
06/11/2023;9°C/14°C;0.3mm
07/11/2023;8°C/13°C;0.1mm
08/11/2023;8°C/13°C;2.5mm
09/11/2023;10°C/12°C;0.4mm
10/11/2023;7°C/11°C;2.2mm
11/11/2023;7°C/12°C;0.2mm
12/11/2023;8°C/13°C;2.8mm
13/11/2023;15°C/17°C;0.4mm
14/11/2023;12°C/14°C;2.8mm
15/11/2023;11°C/13°C;0.1mm
16/11/2023;9°C/13°C;1.9mm
17/11/2023;8°C/11°C;0.3mm
18/11/2023;9°C/14°C;2.2mm
19/11/2023;13°C/15°C;0.3mm
20/11/2023;10°C/12°C;0.6mm
21/11/2023;8°C/13°C;0.3mm
22/11/2023;6°C/10°C;0mm
23/11/2023;8°C/12°C;0mm
24/11/2023;9°C/11°C;0.1mm
25/11/2023;4°C/8°C;0mm
26/11/2023;4°C/7°C;0mm
27/11/2023;5°C/9°C;4.4mm
28/11/2023;5°C/8°C;0.5mm
29/11/2023;4°C/7°C;0mm
30/11/2023;3°C/5°C;0mm
