Jour_name;Jour_Temp;Jour_precipitation
01/10/2023;15°C/27°C;0mm
02/10/2023;18°C/28°C;0mm
03/10/2023;17°C/23°C;0mm
04/10/2023;12°C/19°C;0mm
05/10/2023;13°C/20°C;0mm
06/10/2023;14°C/22°C;0mm
07/10/2023;14°C/25°C;0mm
08/10/2023;16°C/25°C;0mm
09/10/2023;16°C/26°C;0mm
10/10/2023;17°C/28°C;0mm
11/10/2023;17°C/26°C;0mm
12/10/2023;18°C/24°C;0.1mm
13/10/2023;19°C/27°C;0.1mm
14/10/2023;13°C/19°C;0mm
15/10/2023;12°C/14°C;0mm
16/10/2023;7°C/14°C;0mm
17/10/2023;7°C/17°C;0mm
18/10/2023;14°C/20°C;1.1mm
19/10/2023;15°C/16°C;1.4mm
20/10/2023;14°C/18°C;0.9mm
21/10/2023;11°C/14°C;3mm
22/10/2023;12°C/17°C;0.3mm
23/10/2023;12°C/16°C;0mm
24/10/2023;12°C/17°C;0.1mm
25/10/2023;12°C/14°C;0.4mm
26/10/2023;12°C/16°C;4.1mm
27/10/2023;12°C/15°C;0.4mm
28/10/2023;11°C/15°C;1.7mm
29/10/2023;13°C/15°C;2mm
30/10/2023;12°C/13°C;0.9mm
31/10/2023;9°C/15°C;0.5mm
