Jour_name;Jour_Temp;Jour_precipitation
01/09/2023;16°C/24°C;0.4mm
02/09/2023;16°C/28°C;0.1mm
03/09/2023;18°C/30°C;0mm
04/09/2023;18°C/30°C;0mm
05/09/2023;19°C/34°C;0mm
06/09/2023;22°C/33°C;0mm
07/09/2023;19°C/33°C;0mm
08/09/2023;23°C/35°C;0mm
09/09/2023;23°C/34°C;0mm
10/09/2023;23°C/35°C;0mm
11/09/2023;21°C/27°C;0mm
12/09/2023;18°C/20°C;0mm
13/09/2023;16°C/21°C;0mm
14/09/2023;17°C/25°C;0mm
15/09/2023;16°C/28°C;0mm
16/09/2023;18°C/27°C;0mm
17/09/2023;17°C/28°C;0mm
18/09/2023;18°C/25°C;0.3mm
19/09/2023;15°C/22°C;0mm
20/09/2023;16°C/25°C;0mm
21/09/2023;16°C/20°C;3.1mm
22/09/2023;12°C/19°C;0mm
23/09/2023;11°C/18°C;0mm
24/09/2023;12°C/22°C;0mm
25/09/2023;14°C/24°C;0mm
26/09/2023;16°C/25°C;0mm
27/09/2023;17°C/26°C;0mm
28/09/2023;16°C/24°C;0mm
29/09/2023;19°C/23°C;0.1mm
30/09/2023;12°C/22°C;0mm
